step	integral_value
139	0.0632414	1.10084
140	0.882447	0.411515
141	0.504795	7.52484
142	0.504795	7.52484
143	0.504795	7.52484
144	0.504795	7.52484
145	0.504795	7.52484
146	-0.0655818	12.026
147	-0.0655818	12.026
148	-0.0655818	12.026
149	-0.0655818	12.026
150	-0.0655818	12.026
151	-0.0655818	12.026
152	-0.0655818	12.026
153	-0.0655818	12.026
154	-0.0655818	12.026
155	-0.0655818	12.026
156	-0.0655818	12.026
157	-0.0655818	12.026
158	-0.0655818	12.026
159	-0.0655818	12.026
160	-0.0655818	12.026
161	-0.32125	3.00948
162	-1.02988	2.64156
163	-1.02988	2.64156
164	-1.02988	2.64156
165	-1.02988	2.64156
166	-1.02988	2.64156
167	-1.02988	2.64156
168	-1.07583	0.926659
169	-1.07583	0.926659
170	-1.07583	0.926659
171	-1.07583	0.926659
172	-1.07583	0.926659
173	-1.07583	0.926659
174	-1.07583	0.926659
175	-0.04671	1.61602
176	-0.04671	1.61602
177	0.344137	1.95287
178	0.344137	1.95287
179	-1.07551	23.5728
180	-1.07551	23.5728
181	-1.07551	23.5728
182	-1.07551	23.5728
183	-1.07551	23.5728
184	-1.07551	23.5728
185	-1.07551	23.5728
186	-1.07551	23.5728
187	-1.07551	23.5728
188	-1.07551	23.5728
189	-1.07551	23.5728
190	-1.07551	23.5728
191	-1.07551	23.5728
192	1.15619	44.5567
193	1.15619	44.5567
194	1.15619	44.5567
195	1.15619	44.5567
196	1.15619	44.5567
197	1.15619	44.5567
198	1.15619	44.5567
199	1.15619	44.5567
200	1.15619	44.5567
201	1.15619	44.5567
202	1.15619	44.5567
203	1.15619	44.5567
204	1.15619	44.5567
205	1.15619	44.5567
206	1.15619	44.5567
207	1.15619	44.5567
208	1.15619	44.5567
209	1.15619	44.5567
210	1.15619	44.5567
211	1.15619	44.5567
212	1.15619	44.5567
213	1.15619	44.5567
214	1.15619	44.5567
215	1.15619	44.5567
216	1.15619	44.5567
217	1.15619	44.5567
218	1.15619	44.5567
219	1.15619	44.5567
220	1.15619	44.5567
221	1.15619	44.5567
222	1.15619	44.5567
223	1.13804	4.66176
224	1.13804	4.66176
225	1.13804	4.66176
226	1.13804	4.66176
227	-0.359578	1.92605
228	-0.359578	1.92605
229	-0.359578	1.92605
230	0.483175	1.53362
231	-0.689168	130.456
232	-0.689168	130.456
233	-0.689168	130.456
234	-0.689168	130.456
235	-0.689168	130.456
236	-0.689168	130.456
237	-0.689168	130.456
238	-0.689168	130.456
239	-0.689168	130.456
240	-0.689168	130.456
241	-0.689168	130.456
242	-0.689168	130.456
243	-0.689168	130.456
244	-0.689168	130.456
245	-0.689168	130.456
246	-0.689168	130.456
247	-0.689168	130.456
248	-0.689168	130.456
249	-0.689168	130.456
250	-0.689168	130.456
251	-0.689168	130.456
252	-0.689168	130.456
253	-0.689168	130.456
254	-0.689168	130.456
255	-0.689168	130.456
256	-0.689168	130.456
257	0.479673	28.7977
258	0.479673	28.7977
259	0.479673	28.7977
260	0.479673	28.7977
261	0.479673	28.7977
262	0.479673	28.7977
263	0.479673	28.7977
264	0.479673	28.7977
